X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,W,Y
66,82,5,1,3,-1.95,-0.61,1.35,0.55,1.26,-0.11,-1.17,-0.83,1.24,-0.09,0.29,0.12,-1.06,0.56,0.93,1,64.1095462687123
51,83,3,4,2,0.8,-2.33,-0.31,1.45,0.88,2.26,-1.5,1.09,-0.09,-0.84,-1.24,0.69,-0.36,0.38,-0.88,1,53.3966728633041
31,84,3,1,1,0.58,-0.91,0,2.09,-1.27,0.54,0.98,1.36,-1.06,-0.13,-0.31,0.61,1.33,-1.11,-1.1,0,49.5011213028217
70,82,5,3,2,-0.03,0.19,-0.52,-0.11,0.19,0.65,-0.77,-0.41,1.48,0.75,0.63,1.06,0.07,-2.27,0.16,1,64.802850375868
65,86,5,2,2,0.59,-1.86,1.49,1.1,1.87,0.06,-1.45,-1.24,-0.96,-1.21,-0.21,0.2,-0.11,0,-0.91,1,64.42158246011
61,83,3,1,2,-1.27,-0.35,0.24,-0.9,1.34,0.26,-0.02,0.59,0.33,-1.6,0.19,1.46,0.59,-0.77,1.63,1,74.2242342540844
38,95,5,1,2,-0.71,0.3,0.42,0.89,-1.46,-0.71,-2.84,-0.72,0.1,-1.88,-0.22,0.77,-1.54,0.71,-0.87,1,58.5518034565985
60,78,4,4,1,-1.11,0.17,1.58,0.65,0.48,-0.62,0.05,-0.45,-0.08,-1.14,0.44,0.47,-1.33,-1.6,-0.22,1,62.588425497623
31,78,3,3,2,-0.15,-0.13,0.84,-0.02,-1.02,0.51,-1.18,-0.82,1.28,0.21,1.94,0.98,0.08,-0.66,0.59,0,39.05702431415
57,85,3,3,3,1.09,-1.08,-0.89,-0.87,-0.35,1.11,-0.3,-1.52,-1.45,1.19,-0.31,-1,-1.62,0.02,0.28,1,60.1812550145802
60,83,5,1,1,0.3,0.03,-0.2,-0.11,0.8,0.63,0.45,1.99,1.4,0.64,0.42,-0.87,-0.75,-1.06,0.66,0,56.4347397878043
49,90,4,2,3,0.55,-0.54,1.19,-0.51,-0.99,0.67,1.39,1.09,-0.94,-0.22,1.2,-0.73,0.15,-0.27,2.31,1,67.1894769830323
45,71,3,4,3,0.06,-0.54,0.14,-2.54,-0.09,1.27,-0.65,1.35,-0.01,1.38,1.25,-0.48,0.87,0.01,1.78,1,51.8988457453524
57,87,3,4,2,0.56,-2.24,-0.61,-0.98,-0.94,-0.76,-0.43,0.65,0.75,0.22,-0.79,0.34,-0.84,-2.25,-0.82,1,63.7817954499768
43,88,4,1,1,-2.17,0.27,1.14,1.33,1.44,-0.18,-0.13,0.6,-0.39,1.49,-0.75,0.64,-0.03,0.79,0.83,1,58.4396848856963
28,87,3,5,3,-0.63,0.53,-1.86,0.36,-0.1,-0.16,0.39,0.98,0.44,0.78,-0.12,-0.67,-1.88,-0.65,-0.84,1,53.6623427127838
40,77,4,1,2,0.04,-1.06,-1.29,-0.14,0.19,-1.38,-0.85,0.94,-0.81,-0.42,0.52,-1.18,-0.24,1.61,-0.95,1,49.3954819457072
58,91,2,1,2,0.53,-0.46,1.42,-2.33,0.61,-1.57,0.6,2.29,0.74,0.77,-0.53,-0.21,1.19,-0.16,1.13,1,57.3453845833823
28,81,3,5,2,-2.07,-1.45,0.3,0.48,-0.79,0.76,-0.22,1.95,0.7,-0.25,0.75,0.17,0.87,0.75,-0.07,1,51.6761016049495
59,84,4,5,1,-1.12,-2.31,-1.73,-0.82,0.69,0.04,-0.43,-0.66,0.91,1.3,-0.94,1.15,0.65,-0.18,-0.16,1,56.4509534627915
39,78,4,3,3,-1.39,-0.18,-1.25,-0.55,-0.78,-0.01,-0.72,-0.29,1.44,1.86,-0.84,-0.09,1.21,-0.54,-0.82,1,51.8902897617338
41,80,4,1,1,0.67,-0.72,1.96,-0.32,-0.42,2.32,-0.16,-0.67,0.05,2.85,1.09,1.24,0.68,-0.11,-0.05,1,54.5424809271049
73,90,3,2,1,0.77,-1.67,2.93,-1.25,-0.6,-0.65,0.32,-1.94,0.11,1.44,1.52,0.54,-1.55,1.91,-0.64,1,66.4590107320537
27,91,4,1,2,-0.78,2.23,0.3,1.41,1.26,-1.51,2.54,-0.52,1.07,0.31,-1.11,0.09,-0.08,-0.11,0.31,1,65.266160119901
47,74,5,1,1,-0.29,-2.32,0.73,-2.33,1.86,-0.96,0.23,0.66,0.38,0.92,-0.71,1.03,-0.55,-1.37,-1.16,1,63.0899290933855
40,80,4,4,3,0.09,-1.09,-0.01,0.77,0.56,0.03,1.6,0.1,-1.85,0.87,-0.79,0.62,0.75,0.48,-1.1,0,52.8659563058426
29,92,4,5,1,0.2,-0.12,1.38,0.3,0.68,1.03,0.62,-0.61,-0.44,-0.75,0.18,0.44,1.72,-0.87,0.05,1,50.5101544830053
30,74,3,5,2,0.91,1.97,0.19,-0.49,-1.86,1.16,1.47,2.22,-0.15,0.04,0.66,1.48,-0.22,-0.41,0.87,1,52.7966815236929
33,90,3,5,2,1.25,-1.12,0.8,-0.56,-0.92,-0.64,-0.1,0.52,0.13,-1.53,0.23,1.1,-0.99,-0.04,1.06,1,53.4115402923819
50,92,3,1,1,-1.04,-0.11,0.41,-0.56,1.11,0.58,1.94,0.35,0.29,0.02,1.75,1.15,0.47,1.61,0.36,1,50.5482309501867
42,93,4,2,1,1.19,0.21,-0.93,-0.88,0.21,-1.1,-1.24,0.02,-0.21,-0.92,-0.24,-1.56,-1.5,0.27,-0.23,1,67.2716165579646
67,76,4,4,1,-1.2,-1.3,1.01,1.23,-1.55,0.97,-0.08,0.94,0.2,0.22,1.11,-1.79,0.07,-0.92,-3.01,1,50.4981408287602
70,87,3,2,3,-0.8,-0.3,-0.3,-0.64,0.01,0.36,0.44,1.4,1.41,2.24,-1.21,-1.01,0.73,0.6,-0.17,1,55.1475720005362
64,92,4,2,3,-2.12,-0.7,0.31,-1.24,1.45,0.42,0.24,0.47,-0.95,-0.48,0.99,0.06,0.47,-0.16,0.86,1,58.6560371344378
37,79,3,3,1,-0.41,-1.2,-0.44,2.68,-2.03,-0.4,1.12,0.51,0.04,-0.2,-0.06,-0.06,1.01,0.4,-0.24,1,43.893480795749
39,69,3,5,3,0.14,0.43,-1.21,0.68,-0.84,-0.22,0.33,0.62,-1.73,0.26,-1.42,-1.23,1.43,0.38,-2.07,1,55.7716549761845
72,76,3,4,1,0.51,1.62,1.72,-1.27,0.64,-0.31,0.54,-0.51,-0.85,0.36,0.25,0.49,0.21,-0.29,0.34,1,60.1701462215267
41,75,4,5,2,-0.72,-0.63,-1.38,1.14,-0.05,1.63,0.28,-0.87,0.48,0.52,0.1,1.16,-0.67,1.45,-1.2,1,51.3798033386733
33,93,3,3,2,-0.76,-0.54,0.16,1.06,1.02,0.34,-1.4,-0.94,-0.71,-1.19,-0.32,0.59,1.68,0.4,0.26,1,52.0421275155852
25,96,3,3,3,-0.72,-2.48,-0.32,-0.11,0.62,0.79,1.09,-0.42,-0.9,-1.08,0.24,-0.78,1.04,0.38,-1.34,1,43.9689934559509
46,81,4,1,1,0.86,-1.45,-0.05,0.34,0.22,0.67,-0.41,-1.86,2.04,-1.92,-1,0.08,-0.56,-0.42,-0.24,1,55.9261888309668
50,90,4,3,2,1.48,0.77,-0.17,0.37,1.14,-1.45,-0.34,0.06,-0.29,1.06,0.74,2.17,0.53,1.37,-0.26,1,55.0243977005533
66,97,4,3,2,-0.36,-0.15,-1.38,-2.06,0.25,-1.71,-0.95,0.22,0.86,-0.87,-0.03,-0.41,-1.37,0.63,1.76,1,73.5972422415124
31,92,3,3,3,0.18,1.05,-0.11,-0.53,-1.06,-0.62,-1.54,-0.22,0.51,-0.1,-0.22,0.31,-0.95,0.48,1.51,1,49.7570788957049
73,85,3,5,3,1.82,0.77,0.99,-1.08,-1.97,-0.03,0.74,-0.33,0.45,0.34,-1.53,-0.48,-1.1,-0.27,-0.91,1,56.8035811618317
61,58,3,1,2,-0.63,-1.74,0.47,0.3,-1.12,-1.06,1.61,-0.49,-0.78,-1.27,1.88,-0.12,-0.47,0.07,-0.42,1,57.8688732977785
53,88,2,1,1,2.26,-0.29,0.66,1.09,-1.02,0.02,0.09,0.93,0.1,-1.24,-0.07,0.41,1.33,1,1.34,1,62.5321910836405
41,72,3,1,1,-1.13,-0.58,-1.01,0.52,-0.31,-1.58,-2.97,-1.71,1.59,-0.91,1.43,0.85,0.58,0.28,1.27,1,50.6411218700419
33,88,4,4,2,0.8,-0.25,-1.18,-1.39,-0.27,0.73,0.88,1.44,1.99,0.88,1.14,-1.35,0.58,-0.64,-0.3,1,53.475220222217
43,84,3,2,2,1.32,0.63,1.29,0.77,1.02,-0.27,-1.08,-0.05,0.17,0.37,0.46,0.94,-1.09,0.53,0.22,1,52.6073216603528
64,94,5,5,2,-0.67,-1.79,-0.12,1.49,1.31,0.75,0.04,0.15,0.41,0.54,1.01,-1.02,-1.09,0.47,0.35,1,71.06762769263
32,84,4,3,1,0,-1.92,1.61,1.67,0.73,0.52,-0.25,0.32,2.44,-0.8,2.01,-0.16,0.75,0.1,0.31,1,52.2970320816344
28,84,3,2,1,0.79,0.52,2.21,0.09,0.33,0.24,0.38,-0.46,1.74,-0.5,-0.12,-0.62,-0.46,0.92,0.24,1,50.6609365372904
66,81,3,1,2,-0.85,-1.5,-0.11,-0.3,0.15,-0.19,-0.61,1.16,0.22,-2.21,-0.02,-1.69,-0.95,-1.43,1.46,1,55.0154044822788
28,91,3,3,3,1.25,1.44,0.98,0.27,0.55,0.25,-0.08,0.65,-1.98,0.56,-0.72,2.38,0.91,0.2,1.22,0,51.8177424325422
38,76,2,5,2,-0.44,-1.11,-0.51,-0.35,1.46,0.36,1.4,-0.63,2.04,-0.63,2.66,0.87,1.36,-0.85,-1.52,1,47.630653854097
73,81,3,1,1,-2.19,-0.26,1.06,0.16,-1.46,-0.02,3.02,-0.42,1.24,0.26,0.15,0.93,0.36,-0.86,0.64,1,62.4871766632238
50,97,5,3,3,1.06,1.4,0.6,1.27,-0.64,0.64,0.35,0.49,-0.36,-0.33,1,-0.53,0.26,-0.22,-0.52,1,60.6584082361569
37,85,2,2,1,1.22,1.1,0.12,0.81,0.57,0.5,-0.3,-1.15,0.6,0.67,-1.5,0.54,-0.39,0.61,1.1,1,54.6902597461792
36,85,3,5,3,-0.75,0.2,0.42,-0.35,0.24,0.05,-2,-0.25,-1.25,-0.84,0.48,1.35,-0.01,0.19,-0.9,1,53.5579904059437
38,94,3,4,2,-0.02,0.99,-0.32,1.79,0.58,-0.35,-0.67,1,-0.76,0.34,-0.04,0.05,-0.13,-0.15,1.44,1,55.4930209809218
71,83,5,5,1,0.08,0.55,-0.71,-0.63,0.06,-0.16,0.28,1.27,0.89,1.36,-0.23,-1.09,-0.66,-1.04,1.43,1,59.1163462876735
37,85,5,5,2,-0.05,1.43,-1.19,-1.32,-1.03,-0.15,0.73,1.73,0.72,0.48,1.23,-1.25,-0.63,-0.57,-2.11,1,57.7534001829788
28,65,2,2,1,-0.99,0.34,-0.1,-0.06,1.19,-0.13,0.6,-0.66,1.11,1.65,1.78,0.39,-0.21,-1.35,2.05,1,38.9119135028429
42,89,5,5,2,-2.17,-1.14,-0.4,-0.26,0.3,-0.25,0.29,-0.06,1.23,-0.44,0.66,-1.44,-0.55,2,-0.21,1,57.3924916173102
56,85,3,3,2,-0.37,-2.54,-1.07,0.18,-1.38,-0.74,-0.17,0.39,1.2,1.11,-1.92,1.41,0.59,-0.09,0.43,1,65.9551358951242
31,77,2,3,2,0.46,0.16,-0.35,-0.12,-0.93,-0.73,-0.27,0.8,0.01,0.16,-0.95,1.21,0.62,-1.09,1.01,1,46.0698628834784
62,89,4,1,2,-1.37,0.52,0.47,-0.12,-0.6,0.59,-0.79,-0.28,0.14,0.95,-1.17,-0.54,2.07,0.13,0.7,1,66.5173815821838
61,85,3,1,2,-0.55,-1.12,-1.81,-0.84,0.48,1.13,0.12,0.69,-0.92,-0.69,0.11,-0.21,0.04,0.09,-0.38,1,52.8428125873489
59,95,3,3,1,-0.77,0.01,0.64,-1.62,1.46,-1.1,0.73,0.57,0.37,-0.5,0.25,-0.67,0.6,0.52,-1.59,1,65.9052304856678
70,67,5,3,2,-0.99,1.05,1.29,-0.78,-1,-0.97,-2.09,-0.43,-0.71,1.22,-1.2,-0.31,-0.18,-1.04,0.1,1,63.7080723882552
63,94,4,5,3,0.35,0.5,0.01,-2.37,0.63,-0.91,1.94,2.12,0.07,-0.08,1.16,1.71,-0.69,-0.92,-0.83,1,69.9169872333654
70,94,5,5,1,0.44,0.14,-0.27,-0.68,-0.41,0.32,-0.26,-0.26,-0.26,0.1,0.34,-1.91,-1.22,1,-0.47,1,63.2557900137858
75,85,3,5,2,1.78,-1.45,-1.73,1,-0.28,1.02,-1.61,-1.01,-0.21,0.3,0.78,1.24,-0.37,0.27,1.24,1,58.8089556097134
41,69,3,2,2,-2.07,-0.43,0.14,0.72,-0.7,1.38,-0.38,0.81,1.08,1.2,-1.11,1.71,0.39,0.71,-0.47,1,47.0299563590068
56,87,3,1,2,1.05,-0.85,1.45,-0.11,-0.19,-1.06,0.03,-0.04,-1.63,-0.52,1.28,-0.8,-1.24,0.15,-0.52,1,64.2888455229448
72,86,4,3,1,1.22,0.7,0.02,1.76,-1.37,0.23,1,0.71,0.41,-0.44,0.58,-1.24,2.77,-1.4,1.45,1,78.6570531059442
50,83,4,1,2,-1.13,-0.53,0.16,-0.31,1.01,0.09,0.96,0.67,-1.85,-0.63,0.04,-0.76,0.54,0.24,0.38,1,58.3533558775211
72,97,3,5,2,1.04,-0.88,-0.1,-0.96,-1.41,0.55,0.1,0.48,-0.22,0.44,1.61,-0.64,0.24,0.44,0.77,1,78.5903901336935
27,84,3,4,1,-0.16,-0.65,1.35,0.18,-0.24,-1.2,0.16,1.05,-1.2,2.01,-1.08,2.17,-0.31,-1.39,0.91,1,50.1801267642475
44,83,4,3,1,0.66,0.11,-0.34,0.01,-2.07,0.34,1.41,-1.16,-0.37,0.45,0.53,0.12,-0.71,0.74,0.16,1,51.6993508533276
28,80,3,5,2,-0.01,-1.18,-0.44,0.9,0.7,1.18,1.2,0.98,0.94,0.57,0.01,0.95,0.06,-1.34,1.66,1,53.7682941375769
57,98,3,5,1,-0.98,-0.02,1,-0.11,-0.79,-1.47,0.9,0.82,0.4,0.41,0.1,1.38,0.57,-1.25,0.39,1,53.4379109188103
43,57,4,3,3,1.5,0.18,0.08,-0.86,2.44,0.4,-0.26,-1.76,1.12,-0.85,-0.31,-1.52,-1.01,2.13,-0.82,1,44.4342103001595
35,93,5,3,2,-0.7,0.28,-0.65,-1.08,0.68,-1.41,0.79,-0.4,-0.59,-0.01,-1.71,-0.98,-0.2,-1.13,-0.51,1,42.7241322789898
60,88,4,2,3,0.02,-1.87,0.41,-0.94,-0.06,-0.15,0.2,1.45,-1.29,0.92,1.03,0.87,0.59,-0.08,0.14,0,43.9593457676216
66,64,4,1,2,-1.33,-1.15,0.08,1.06,-0.05,1.67,-2.21,1.06,-1.41,1.13,-0.44,-0.17,0.9,-0.04,0.05,1,58.0430005903122
48,94,3,2,2,2.61,-1.16,0.68,1.05,-0.84,-0.62,0.42,1.03,-0.05,-1.21,0.93,-0.59,0.53,-0.07,0.11,1,56.3166915262146
74,67,3,1,1,-0.51,-0.97,0.17,-0.14,0.42,-0.37,-1.18,1.97,-0.86,-0.44,0.6,1.14,-0.81,-0.42,-0.82,1,58.7532538519233
31,84,3,2,1,0.23,0.88,-0.23,1.45,-0.38,-0.49,0.01,0.07,0.09,-0.93,-0.79,-1.62,0.62,-0.57,-1.17,0,53.2302337578721
72,98,5,5,1,-0.76,-0.27,-0.86,0.76,-0.46,-1.44,0.03,-1.23,-0.11,1.3,0.32,0.3,-1.51,-0.64,1.87,1,68.9384798334895
48,79,3,1,3,-0.6,-0.98,0.86,1.36,1.13,1.45,-0.69,0.38,0.39,-0.31,-1.31,0.73,0.22,1.08,-2.34,1,44.9095042246586
44,60,3,2,3,-0.48,-0.74,0.01,1.07,-0.6,0.36,0.72,1.21,-0.16,1.49,1.28,-0.05,0.4,-0.1,-0.32,0,47.6196804805165
54,82,3,5,2,-1.12,0.87,0.01,0.04,-0.52,0.22,0.6,-2.05,0.13,1.01,0.16,1.69,0.86,0.35,-0.24,1,59.6609246201772
73,74,3,5,1,-0.75,-0.09,1.32,0.15,0.39,-1.15,0.72,0.16,1.1,-2.22,1.55,0.15,-0.31,-0.38,-3.51,1,71.0253615575994
65,74,4,3,3,0.43,-0.8,-0.47,-1.1,-0.07,-0.22,1.18,-0.62,0.47,1.75,1.48,-2.07,0.77,1.29,-1.62,1,66.2338701279802
67,85,5,4,2,0.03,0.4,-1.14,-0.15,0.9,-0.98,-0.14,-1.12,0.38,0.83,0.62,1.35,-0.53,-1.85,-1.41,1,62.834392298886
39,88,5,5,1,0.32,0.18,0.05,0.44,-0.56,-1.06,-2.32,-1.09,-0.99,-0.56,2.45,-0.46,-0.88,-0.07,-1.3,1,44.6769384254312
69,89,5,2,1,0.42,-2.65,0.21,-0.41,-1.64,0.77,0.46,0,-0.06,0.59,0.01,-0.27,-0.41,0.09,-2.26,1,67.4255931391773
27,71,5,1,1,0.95,-1.55,1.53,-0.97,0.44,0.59,-0.41,-0.23,-1.42,0.88,-1.49,1.58,0.21,-0.13,-0.93,1,50.3514295609477
56,63,4,3,2,-0.83,0.62,0.42,0.56,0.32,-0.64,-0.67,1.09,0.64,0.28,1.2,-0.13,-1.83,-0.1,0.16,1,51.2437285243961
34,65,3,5,2,-0.01,1.21,-0.33,0.11,0.04,0.48,1.74,-1.42,0.71,1.23,-0.15,0.22,2.13,1.05,-1.61,1,36.5626000856931
26,94,4,4,1,-0.55,1.95,-0.32,-1.29,0.85,-0.35,1.73,-0.82,-0.67,-2.14,0.37,-1.06,-0.08,-1.69,-0.02,1,55.5207174802662
47,89,3,3,2,0.63,-0.88,-0.65,-1.19,1.17,0.7,-0.69,0.84,-0.29,-0.86,0.78,-0.1,-0.66,0.51,1.78,1,59.2745054329704
27,90,4,3,2,-0.1,-1.58,3.26,0.6,-0.46,-1.02,-0.03,0.91,-0.05,1.07,-1.87,-0.2,0.42,-0.87,-0.31,1,52.7116319513504
68,94,5,2,1,-0.93,-0.17,-1.51,0.03,-0.79,-0.98,1.54,-2.56,1.03,-0.56,0.37,-0.77,-2.33,0.04,0.71,1,67.7003651288817
66,84,4,2,3,-0.82,-2.04,-0.15,0.55,0.18,0.75,0.99,-1.73,-0.53,-0.96,0.34,2.12,-2.05,-0.56,0.22,1,59.4663216444569
68,59,2,4,1,-0.1,0.78,-0.01,-1.41,0.88,0.66,-0.93,1.35,0.49,-0.64,0.96,0.27,-1.73,0.76,0.65,1,53.4176495257085
44,77,4,1,1,0.29,-0.16,-0.54,-1.81,0.07,-0.84,0.46,0.04,-0.87,-0.34,1.21,2.04,-1.02,1,-0.21,1,55.3207622084729
44,64,3,5,1,1.36,0.19,0.41,-0.08,0.51,-0.58,0.1,1.76,0.07,-0.59,-1.08,2.34,-0.54,0.03,1.08,1,60.2071734154739
33,97,5,2,3,1.73,1.13,0.5,0.35,-1.67,0.02,0.45,-0.84,1.01,0.81,0.01,-0.61,-0.35,-1.5,-0.08,1,49.728742177805
52,96,5,1,1,-0.38,1.02,-1.13,0.62,-0.17,0.36,-1.3,1.12,-0.52,-0.97,-0.33,-1.08,1.64,-0.6,0.35,1,62.0544428445811
34,74,3,2,2,0.51,-0.49,1.56,1.19,-0.75,0.8,0.08,-0.27,0.38,0.74,0.26,-0.32,1.29,-1.78,0.5,1,52.5531534427788
40,61,3,3,3,2.15,-1.27,-0.73,-0.4,-1.24,-0.26,-1.41,1.29,0.02,0.76,-0.56,1.61,-1.19,-0.78,0.36,1,38.1000034707752
46,89,4,3,2,-0.41,0.96,0.44,-0.16,-0.5,0.33,-0.81,-1.17,-0.76,-1.61,-0.09,-0.07,0.96,0.38,1.26,1,59.7278687385159
70,86,3,3,3,-0.37,-2.66,0.02,-1.02,-0.07,-0.52,-0.08,0.69,0.84,0.09,-0.53,-2.3,1.52,0.32,-0.28,1,66.1232282919373
